nameWithOwner,sshUrl,starsCount,releasesCount,ageInYears,loc,comments
halo-dev/halo,git@github.com:halo-dev/halo.git,19661,72,3.4684931506849317,37666,11924
xuxueli/xxl-job,git@github.com:xuxueli/xxl-job.git,19340,30,5.780821917808219,32758,5349
alibaba/nacos,git@github.com:alibaba/nacos.git,19261,41,3.232876712328767,153484,56353
libgdx/libgdx,git@github.com:libgdx/libgdx.git,18867,8,9.082191780821917,695282,176176
google/ExoPlayer,git@github.com:google/ExoPlayer.git,18211,13,7.238356164383561,882881,187544
square/picasso,git@github.com:square/picasso.git,18112,7,8.323287671232876,10092,1803
Baseflow/PhotoView,git@github.com:Baseflow/PhotoView.git,17912,5,9.147945205479452,1894,389
didi/DoraemonKit,git@github.com:didi/DoraemonKit.git,17900,4,3.0684931506849313,161819,46373
jenkinsci/jenkins,git@github.com:jenkinsci/jenkins.git,17794,123,10.797260273972602,303699,121795
DrKLO/Telegram,git@github.com:DrKLO/Telegram.git,17780,68,7.873972602739726,2656662,709917
apache/skywalking,git@github.com:apache/skywalking.git,17655,46,5.838356164383562,96457,38757
redisson/redisson,git@github.com:redisson/redisson.git,17321,99,7.66027397260274,199028,64970
bazelbuild/bazel,git@github.com:bazelbuild/bazel.git,17278,115,7.243835616438356,960693,302375
alibaba/Sentinel,git@github.com:alibaba/Sentinel.git,17241,18,3.43013698630137,75586,29267
apache/flink,git@github.com:apache/flink.git,17056,0,7.257534246575342,1806937,526349
nostra13/Android-Universal-Image-Loader,git@github.com:nostra13/Android-Universal-Image-Loader.git,16844,0,9.786301369863013,7521,5446
facebook/fresco,git@github.com:facebook/fresco.git,16651,44,6.523287671232877,976274,59134
CarGuo/GSYVideoPlayer,git@github.com:CarGuo/GSYVideoPlayer.git,16622,26,4.8191780821917805,36370,6552
linlinjava/litemall,git@github.com:linlinjava/litemall.git,16300,8,3.4657534246575343,123831,47639
elunez/eladmin,git@github.com:elunez/eladmin.git,16294,6,2.734246575342466,13200,8388
mybatis/mybatis-3,git@github.com:mybatis/mybatis-3.git,16173,34,8.567123287671233,103243,34955
shuzheng/zheng,git@github.com:shuzheng/zheng.git,16077,0,4.928767123287671,94478,8287
Tencent/tinker,git@github.com:Tencent/tinker.git,15997,42,5.005479452054795,40822,11333
forezp/SpringCloudLearning,git@github.com:forezp/SpringCloudLearning.git,15908,0,4.419178082191781,81511,1606
dianping/cat,git@github.com:dianping/cat.git,15874,0,8.761643835616438,648375,102893
oracle/graal,git@github.com:oracle/graal.git,15850,32,5.652054794520548,1212543,507375
brettwooldridge/HikariCP,git@github.com:brettwooldridge/HikariCP.git,15688,0,7.920547945205479,13855,3606
apache/rocketmq,git@github.com:apache/rocketmq.git,15265,3,4.772602739726027,102847,22896
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,git@github.com:EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,15037,0,8.791780821917808,1492,739
winterbe/java8-tutorial,git@github.com:winterbe/java8-tutorial.git,14997,0,7.484931506849315,2826,433
android10/Android-CleanArchitecture,git@github.com:android10/Android-CleanArchitecture.git,14945,0,7.057534246575343,3051,1722
TeamNewPipe/NewPipe,git@github.com:TeamNewPipe/NewPipe.git,14885,107,6.013698630136986,109936,7331
openzipkin/zipkin,git@github.com:openzipkin/zipkin.git,14684,62,9.26027397260274,58296,13439
JeffLi1993/springboot-learning-example,git@github.com:JeffLi1993/springboot-learning-example.git,14488,0,4.586301369863014,7074,2027
apache/shardingsphere,git@github.com:apache/shardingsphere.git,14486,44,5.641095890410959,288439,122768
lottie-react-native/lottie-react-native,git@github.com:lottie-react-native/lottie-react-native.git,14437,3,4.6136986301369864,1734,231
LMAX-Exchange/disruptor,git@github.com:LMAX-Exchange/disruptor.git,14055,12,8.967123287671233,16105,6262
hdodenhof/CircleImageView,git@github.com:hdodenhof/CircleImageView.git,14003,0,7.6438356164383565,485,22
lgvalle/Material-Animations,git@github.com:lgvalle/Material-Animations.git,13585,0,6.504109589041096,1937,75
dyc87112/SpringBoot-Learning,git@github.com:dyc87112/SpringBoot-Learning.git,13518,0,5.049315068493151,22720,1565
alibaba/ARouter,git@github.com:alibaba/ARouter.git,13401,16,4.734246575342466,4851,1673
orhanobut/logger,git@github.com:orhanobut/logger.git,12975,16,6.471232876712329,1620,321
Bigkoo/Android-PickerView,git@github.com:Bigkoo/Android-PickerView.git,12907,0,6.698630136986301,5025,1220
Curzibn/Luban,git@github.com:Curzibn/Luban.git,12651,6,5.126027397260274,1161,240
medcl/elasticsearch-analysis-ik,git@github.com:medcl/elasticsearch-analysis-ik.git,12603,139,9.734246575342466,2448,1350
iBotPeaches/Apktool,git@github.com:iBotPeaches/Apktool.git,12470,14,9.476712328767123,13180,3051
greenrobot/greenDAO,git@github.com:greenrobot/greenDAO.git,12425,8,9.884931506849314,20508,5228
Konloch/bytecode-viewer,git@github.com:Konloch/bytecode-viewer.git,12394,55,6.904109589041096,23168,8302
prestodb/presto,git@github.com:prestodb/presto.git,12384,0,9.084931506849315,999336,255482
zhoutaoo/SpringCloud,git@github.com:zhoutaoo/SpringCloud.git,6722,0,4.1287671232876715,11708,1280
goldze/MVVMHabit,git@github.com:goldze/MVVMHabit.git,6644,3,4.134246575342465,10390,3471
DroidPluginTeam/DroidPlugin,git@github.com:DroidPluginTeam/DroidPlugin.git,6627,2,6.035616438356165,23954,6723
naman14/Timber,git@github.com:naman14/Timber.git,6610,5,6.243835616438356,26689,3536
KunMinX/Jetpack-MVVM-Best-Practice,git@github.com:KunMinX/Jetpack-MVVM-Best-Practice.git,6601,0,1.8547945205479452,7083,2537
seven332/EhViewer,git@github.com:seven332/EhViewer.git,6574,97,7.323287671232877,58391,12373
Exrick/xmall,git@github.com:Exrick/xmall.git,6400,0,4.115068493150685,224670,36525
apache/dolphinscheduler,git@github.com:apache/dolphinscheduler.git,6374,17,2.5232876712328767,146998,50161
apache/storm,git@github.com:apache/storm.git,6270,0,7.843835616438356,373205,85941
GrenderG/Toasty,git@github.com:GrenderG/Toasty.git,6225,19,4.638356164383562,781,81
wildfirechat/server,git@github.com:wildfirechat/server.git,6198,48,2.6246575342465754,84197,17040
markzhai/AndroidPerformanceMonitor,git@github.com:markzhai/AndroidPerformanceMonitor.git,6161,0,5.6438356164383565,2678,645
rengwuxian/MaterialEditText,git@github.com:rengwuxian/MaterialEditText.git,6102,19,6.86027397260274,3851,901
flyway/flyway,git@github.com:flyway/flyway.git,6094,109,8.736986301369862,32206,16615
pedrovgs/EffectiveAndroidUI,git@github.com:pedrovgs/EffectiveAndroidUI.git,6061,0,7.183561643835616,2964,1632
google/physical-web,git@github.com:google/physical-web.git,6037,17,6.942465753424657,16603,5525
processing/processing,git@github.com:processing/processing.git,5983,48,8.621917808219179,102517,54318
antoniolg/androidmvp,git@github.com:antoniolg/androidmvp.git,5956,0,7.438356164383562,1019,128
singwhatiwanna/dynamic-load-apk,git@github.com:singwhatiwanna/dynamic-load-apk.git,5946,0,7.446575342465754,3554,804
zouzg/mybatis-generator-gui,git@github.com:zouzg/mybatis-generator-gui.git,5939,16,5.3342465753424655,3659,301
wyouflf/xUtils3,git@github.com:wyouflf/xUtils3.git,5900,9,5.865753424657535,12736,2189
Graylog2/graylog2-server,git@github.com:Graylog2/graylog2-server.git,5835,28,11.315068493150685,370170,100766
google/j2objc,git@github.com:google/j2objc.git,5820,39,7.605479452054794,1005665,735938
Nightonke/BoomMenu,git@github.com:Nightonke/BoomMenu.git,5729,0,5.473972602739726,10147,1666
weibocom/motan,git@github.com:weibocom/motan.git,5719,16,5.3863013698630136,85978,46372
prolificinteractive/material-calendarview,git@github.com:prolificinteractive/material-calendarview.git,5719,22,6.578082191780822,5553,1229
daimajia/AndroidImageSlider,git@github.com:daimajia/AndroidImageSlider.git,5643,5,7.271232876712329,4304,993
nhaarman/ListViewAnimations,git@github.com:nhaarman/ListViewAnimations.git,5642,14,8.476712328767123,7672,3447
sohutv/cachecloud,git@github.com:sohutv/cachecloud.git,5639,5,5.619178082191781,177241,43534
wasabeef/richeditor-android,git@github.com:wasabeef/richeditor-android.git,5609,0,6.446575342465754,1837,267
sshahine/JFoenix,git@github.com:sshahine/JFoenix.git,5604,0,6.002739726027397,29716,8306
ximsfei/Android-skin-support,git@github.com:ximsfei/Android-skin-support.git,5574,0,4.654794520547945,29874,2507
febsteam/FEBS-Shiro,git@github.com:febsteam/FEBS-Shiro.git,5565,0,3.4712328767123286,29071,2849
amlcurran/ShowcaseView,git@github.com:amlcurran/ShowcaseView.git,5562,13,9.07123287671233,2748,1176
joelittlejohn/jsonschema2pojo,git@github.com:joelittlejohn/jsonschema2pojo.git,5550,58,8.213698630136987,20910,7109
hongyangAndroid/FlowLayout,git@github.com:hongyangAndroid/FlowLayout.git,5524,0,6.032876712328767,1460,64
dmytrodanylyk/circular-progress-button,git@github.com:dmytrodanylyk/circular-progress-button.git,5517,0,7.257534246575342,1571,20
emilsjolander/StickyListHeaders,git@github.com:emilsjolander/StickyListHeaders.git,5515,16,9.498630136986302,2679,308
rabbitmq/rabbitmq-tutorials,git@github.com:rabbitmq/rabbitmq-tutorials.git,5503,0,10.96986301369863,11318,1345
alibaba/freeline,git@github.com:alibaba/freeline.git,5473,22,5.098630136986301,12040,1437
facebookarchive/rebound,git@github.com:facebookarchive/rebound.git,5472,10,7.912328767123288,4519,1354
sockeqwe/mosby,git@github.com:sockeqwe/mosby.git,5457,15,6.46027397260274,22817,10583
mrniko/netty-socketio,git@github.com:mrniko/netty-socketio.git,5444,3,9.66027397260274,6627,2619
dm77/barcodescanner,git@github.com:dm77/barcodescanner.git,5409,6,7.536986301369863,3595,163
jgilfelt/SystemBarTint,git@github.com:jgilfelt/SystemBarTint.git,5402,3,7.810958904109589,906,369
lightbend/config,git@github.com:lightbend/config.git,5378,0,9.761643835616438,20724,5819
debezium/debezium,git@github.com:debezium/debezium.git,5324,0,5.627397260273972,165972,42164
languagetool-org/languagetool,git@github.com:languagetool-org/languagetool.git,5324,0,8.087671232876712,843438,94592
robolectric/robolectric,git@github.com:robolectric/robolectric.git,5315,75,11.035616438356165,197332,32180
amitshekhariitbhu/Fast-Android-Networking,git@github.com:amitshekhariitbhu/Fast-Android-Networking.git,5295,8,5.468493150684932,17581,4197
lucasr/twoway-view,git@github.com:lucasr/twoway-view.git,5272,0,8.638356164383561,3569,714
yixia/VitamioBundle,git@github.com:yixia/VitamioBundle.git,5233,0,8.89041095890411,6247,2339
scribejava/scribejava,git@github.com:scribejava/scribejava.git,5207,7,11.013698630136986,16654,2004
square/otto,git@github.com:square/otto.git,5207,0,9.202739726027398,2618,956
h2pl/Java-Tutorial,git@github.com:h2pl/Java-Tutorial.git,5204,0,3.356164383561644,65,6
gzu-liyujiang/AndroidPicker,git@github.com:gzu-liyujiang/AndroidPicker.git,5169,39,5.884931506849315,14637,5840
Yalantis/Side-Menu.Android,git@github.com:Yalantis/Side-Menu.Android.git,5167,2,6.654794520547945,620,41
h6ah4i/android-advancedrecyclerview,git@github.com:h6ah4i/android-advancedrecyclerview.git,5139,1,6.624657534246575,29355,9160
thinkaurelius/titan,git@github.com:thinkaurelius/titan.git,5139,0,9.536986301369863,205482,32012
motianhuo/wechat,git@github.com:motianhuo/wechat.git,5138,0,6.293150684931507,49063,5895
spring-projects/spring-petclinic,git@github.com:spring-projects/spring-petclinic.git,5058,0,8.665753424657535,12040,962
frogermcs/InstaMaterial,git@github.com:frogermcs/InstaMaterial.git,5044,1,6.83013698630137,3871,95
alibaba/UltraViewPager,git@github.com:alibaba/UltraViewPager.git,5023,10,4.446575342465754,2238,1102
wasabeef/Blurry,git@github.com:wasabeef/Blurry.git,5005,0,6.131506849315069,813,106
traex/RippleEffect,git@github.com:traex/RippleEffect.git,4964,0,6.904109589041096,867,304
TommyLemon/Android-ZBLibrary,git@github.com:TommyLemon/Android-ZBLibrary.git,4947,25,6.054794520547945,21065,8412
crazycodeboy/react-native-splash-screen,git@github.com:crazycodeboy/react-native-splash-screen.git,4945,11,4.983561643835617,572,126
amitshekhariitbhu/RxJava2-Android-Samples,git@github.com:amitshekhariitbhu/RxJava2-Android-Samples.git,4940,0,5.032876712328767,4361,472
MinecraftForge/MinecraftForge,git@github.com:MinecraftForge/MinecraftForge.git,4898,0,9.610958904109589,64318,27706
Devlight/NavigationTabBar,git@github.com:Devlight/NavigationTabBar.git,4892,13,5.446575342465754,3229,256
journeyapps/zxing-android-embedded,git@github.com:journeyapps/zxing-android-embedded.git,4882,6,8.780821917808218,5725,2628
yipianfengye/android-zxingLibrary,git@github.com:yipianfengye/android-zxingLibrary.git,4877,0,5.120547945205479,2756,886
Meituan-Dianping/Leaf,git@github.com:Meituan-Dianping/Leaf.git,4870,0,2.7424657534246575,1902,116
Ramotion/folding-cell-android,git@github.com:Ramotion/folding-cell-android.git,4845,0,5.438356164383562,1632,209
claritylab/lucida,git@github.com:claritylab/lucida.git,4836,0,7.326027397260274,48618,13473
etsy/AndroidStaggeredGrid,git@github.com:etsy/AndroidStaggeredGrid.git,4790,7,7.750684931506849,3807,885
rubensousa/GravitySnapHelper,git@github.com:rubensousa/GravitySnapHelper.git,4787,14,5.021917808219178,1523,258
danikula/AndroidVideoCache,git@github.com:danikula/AndroidVideoCache.git,4751,20,6.441095890410959,3965,468
google/cameraview,git@github.com:google/cameraview.git,4733,0,5.095890410958904,3425,1013
mcxiaoke/packer-ng-plugin,git@github.com:mcxiaoke/packer-ng-plugin.git,4725,1,5.791780821917809,3332,742
square/sqlbrite,git@github.com:square/sqlbrite.git,4652,9,6.553424657534246,3939,1261
hongyangAndroid/baseAdapter,git@github.com:hongyangAndroid/baseAdapter.git,4632,0,6.101369863013699,2324,127
wdullaer/MaterialDateTimePicker,git@github.com:wdullaer/MaterialDateTimePicker.git,4612,54,6.682191780821918,11099,3691
tomakehurst/wiremock,git@github.com:tomakehurst/wiremock.git,4581,4,9.917808219178083,66687,13848
JakeWharton/NineOldAndroids,git@github.com:JakeWharton/NineOldAndroids.git,4528,0,9.756164383561643,7338,4191
PaperMC/Paper,git@github.com:PaperMC/Paper.git,4523,1,5.63013698630137,393,129
jdamcd/android-crop,git@github.com:jdamcd/android-crop.git,4506,6,7.493150684931507,1906,329
kyleduo/SwitchButton,git@github.com:kyleduo/SwitchButton.git,4503,0,7,2806,131
raphw/byte-buddy,git@github.com:raphw/byte-buddy.git,4499,230,7.789041095890411,167984,79886
frohoff/ysoserial,git@github.com:frohoff/ysoserial.git,4471,0,6.6136986301369864,4924,1066
nisrulz/android-tips-tricks,git@github.com:nisrulz/android-tips-tricks.git,4467,0,5.035616438356165,24,1
spring-projects/spring-security-oauth,git@github.com:spring-projects/spring-security-oauth.git,4454,0,10.126027397260273,52867,18007
pili-engineering/PLDroidPlayer,git@github.com:pili-engineering/PLDroidPlayer.git,4447,38,6.271232876712329,6963,383
plantuml/plantuml,git@github.com:plantuml/plantuml.git,4446,0,10.849315068493151,216993,121125
spring-cloud/spring-cloud-netflix,git@github.com:spring-cloud/spring-cloud-netflix.git,4443,2,7.164383561643835,20958,3142
square/android-times-square,git@github.com:square/android-times-square.git,4443,0,8.605479452054794,2974,473
gephi/gephi,git@github.com:gephi/gephi.git,4441,12,9.884931506849314,129159,69946
HotBitmapGG/bilibili-android-client,git@github.com:HotBitmapGG/bilibili-android-client.git,4413,1,5.271232876712329,35446,3159
alibaba/dexposed,git@github.com:alibaba/dexposed.git,4397,0,6.1945205479452055,3545,1342
hustcc/JS-Sorting-Algorithm,git@github.com:hustcc/JS-Sorting-Algorithm.git,4396,0,4.635616438356164,1103,143
amitshekhariitbhu/Android-Debug-Database,git@github.com:amitshekhariitbhu/Android-Debug-Database.git,7882,12,4.810958904109589,4426,1176
ChrisRM/material-theme-jetbrains,git@github.com:ChrisRM/material-theme-jetbrains.git,7882,17,5.961643835616439,85873,10539
firebase/quickstart-android,git@github.com:firebase/quickstart-android.git,7820,0,5.36986301369863,18881,2683
newbee-ltd/newbee-mall,git@github.com:newbee-ltd/newbee-mall.git,7819,0,1.9643835616438357,160806,18560
MindorksOpenSource/android-interview-questions,git@github.com:MindorksOpenSource/android-interview-questions.git,7801,0,4.167123287671233,10,0
Netflix/SimianArmy,git@github.com:Netflix/SimianArmy.git,7792,4,9.175342465753424,19435,8935
jwtk/jjwt,git@github.com:jwtk/jjwt.git,7741,0,6.989041095890411,15317,8578
guolindev/LitePal,git@github.com:guolindev/LitePal.git,7723,0,8.550684931506849,16569,12079
JakeWharton/hugo,git@github.com:JakeWharton/hugo.git,7697,0,7.789041095890411,520,3
trello/RxLifecycle,git@github.com:trello/RxLifecycle.git,7679,22,6.13972602739726,3775,917
hs-web/hsweb-framework,git@github.com:hs-web/hsweb-framework.git,7655,22,5.641095890410959,26891,5053
square/moshi,git@github.com:square/moshi.git,7574,0,7.0849315068493155,24516,4614
airbnb/epoxy,git@github.com:airbnb/epoxy.git,7502,67,5.082191780821918,62717,10208
kaushikgopal/RxJava-Android-Samples,git@github.com:kaushikgopal/RxJava-Android-Samples.git,7490,0,7.131506849315069,5227,239
dropwizard/metrics,git@github.com:dropwizard/metrics.git,7419,70,11.536986301369863,36381,5572
OpenFeign/feign,git@github.com:OpenFeign/feign.git,7389,20,8.202739726027398,32316,8873
aritraroy/UltimateAndroidReference,git@github.com:aritraroy/UltimateAndroidReference.git,7365,0,4.413698630136986,39,0
macrozheng/mall-swarm,git@github.com:macrozheng/mall-swarm.git,7316,1,1.7863013698630137,91185,3524
google/agera,git@github.com:google/agera.git,7295,16,5.728767123287671,14360,4953
square/dagger,git@github.com:square/dagger.git,7276,0,9.101369863013698,11050,3848
react-native-image-picker/react-native-image-picker,git@github.com:react-native-image-picker/react-native-image-picker.git,7272,83,6.252054794520548,1674,70
Bearded-Hen/Android-Bootstrap,git@github.com:Bearded-Hen/Android-Bootstrap.git,7235,5,7.854794520547945,16936,993
cymcsg/UltimateRecyclerView,git@github.com:cymcsg/UltimateRecyclerView.git,7231,9,6.6136986301369864,18096,5227
resilience4j/resilience4j,git@github.com:resilience4j/resilience4j.git,7221,29,6.2684931506849315,69756,24914
apache/shardingsphere-elasticjob,git@github.com:apache/shardingsphere-elasticjob.git,7213,26,5.994520547945205,46636,18188
lecho/hellocharts-android,git@github.com:lecho/hellocharts-android.git,7210,14,6.909589041095891,10812,1872
pedant/sweet-alert-dialog,git@github.com:pedant/sweet-alert-dialog.git,7204,2,6.890410958904109,1550,36
JakeWharton/ActionBarSherlock,git@github.com:JakeWharton/ActionBarSherlock.git,7177,32,10.512328767123288,33769,13956
crazycodeboy/TakePhoto,git@github.com:crazycodeboy/TakePhoto.git,7154,15,6.098630136986301,3190,849
vipshop/vjtools,git@github.com:vipshop/vjtools.git,7141,9,3.2794520547945205,20500,6274
geeeeeeeeek/WeChatLuckyMoney,git@github.com:geeeeeeeeek/WeChatLuckyMoney.git,7110,20,5.942465753424657,2033,102
google/tsunami-security-scanner,git@github.com:google/tsunami-security-scanner.git,7102,4,1.263013698630137,9455,3631
koush/AndroidAsync,git@github.com:koush/AndroidAsync.git,7092,0,9.043835616438356,16858,3155
leolin310148/ShortcutBadger,git@github.com:leolin310148/ShortcutBadger.git,7060,0,7.816438356164384,1283,273
gedoor/MyBookshelf,git@github.com:gedoor/MyBookshelf.git,7030,160,3.241095890410959,68322,8268
signalapp/Signal-Server,git@github.com:signalapp/Signal-Server.git,7003,0,7.750684931506849,46065,3456
doocs/source-code-hunter,git@github.com:doocs/source-code-hunter.git,6998,0,1.8630136986301369,140,0
davemorrissey/subsampling-scale-image-view,git@github.com:davemorrissey/subsampling-scale-image-view.git,6985,21,8.038356164383561,14552,2679
ogaclejapan/SmartTabLayout,git@github.com:ogaclejapan/SmartTabLayout.git,6945,0,6.567123287671233,2749,674
hongyangAndroid/okhttputils,git@github.com:hongyangAndroid/okhttputils.git,6859,0,6.063013698630137,2892,327
google/android-classyshark,git@github.com:google/android-classyshark.git,6856,17,5.909589041095891,9524,2498
Qihoo360/RePlugin,git@github.com:Qihoo360/RePlugin.git,6852,17,4.252054794520548,32887,19102
apache/cassandra,git@github.com:apache/cassandra.git,6841,0,12.306849315068494,708550,125978
alibaba/otter,git@github.com:alibaba/otter.git,6775,10,8.084931506849315,83187,31506
dyc87112/SpringCloud-Learning,git@github.com:dyc87112/SpringCloud-Learning.git,6770,0,5.049315068493151,41424,6297
barteksc/AndroidPdfViewer,git@github.com:barteksc/AndroidPdfViewer.git,6737,0,5.265753424657534,3425,1074
kevin-wayne/algs4,git@github.com:kevin-wayne/algs4.git,6732,0,6.024657534246575,22006,27021
zhoutaoo/SpringCloud,git@github.com:zhoutaoo/SpringCloud.git,6722,0,4.1287671232876715,11708,1280
hongyangAndroid/AndroidAutoLayout,git@github.com:hongyangAndroid/AndroidAutoLayout.git,6717,0,5.8054794520547945,4136,314
goldze/MVVMHabit,git@github.com:goldze/MVVMHabit.git,6644,3,4.134246575342465,10390,3471
DroidPluginTeam/DroidPlugin,git@github.com:DroidPluginTeam/DroidPlugin.git,6627,2,6.035616438356165,23954,6723
naman14/Timber,git@github.com:naman14/Timber.git,6610,5,6.243835616438356,26689,3536
KunMinX/Jetpack-MVVM-Best-Practice,git@github.com:KunMinX/Jetpack-MVVM-Best-Practice.git,6601,0,1.8547945205479452,7083,2537
abel533/Mapper,git@github.com:abel533/Mapper.git,6592,2,6.8,22894,12790
seven332/EhViewer,git@github.com:seven332/EhViewer.git,6574,97,7.323287671232877,58391,12373
yanzhenjie/AndPermission,git@github.com:yanzhenjie/AndPermission.git,6545,0,4.991780821917808,5196,2692
NLPchina/elasticsearch-sql,git@github.com:NLPchina/elasticsearch-sql.git,6492,165,7.043835616438356,112269,15193
uber/RIBs,git@github.com:uber/RIBs.git,6463,4,3.9315068493150687,23081,11882
Exrick/xmall,git@github.com:Exrick/xmall.git,6400,0,4.115068493150685,224670,36525
Angel-ML/angel,git@github.com:Angel-ML/angel.git,6383,19,4.372602739726028,268062,63207
apache/dolphinscheduler,git@github.com:apache/dolphinscheduler.git,6374,17,2.5232876712328767,146998,50161
zendesk/android-floating-action-button,git@github.com:zendesk/android-floating-action-button.git,6343,0,6.972602739726027,1370,16
yuanguangxin/LeetCode,git@github.com:yuanguangxin/LeetCode.git,6292,0,1.6575342465753424,3273,378
koush/ion,git@github.com:koush/ion.git,6281,0,8.301369863013699,10386,2450
apache/storm,git@github.com:apache/storm.git,6270,0,7.843835616438356,373205,85941
vinc3m1/RoundedImageView,git@github.com:vinc3m1/RoundedImageView.git,6242,19,8.545205479452054,1739,312
